function,path,wrapper,declared_tier,has_resource_scope_check,has_permission_leaf_check,uses_service_client_directly,gaps
telegram-admin-settings,supabase/functions/telegram-admin-settings/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
telegram-chat-settings,supabase/functions/telegram-chat-settings/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
telegram-finance-cron,supabase/functions/telegram-finance-cron/index.ts,serveCronPost,"cron (secret-gated)",no,no,no,""
telegram-finance-settings,supabase/functions/telegram-finance-settings/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
telegram-global-settings,supabase/functions/telegram-global-settings/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
telegram-maintenance-cron,supabase/functions/telegram-maintenance-cron/index.ts,serveCronPost,"cron (secret-gated)",no,no,no,""
telegram-maintenance-settings,supabase/functions/telegram-maintenance-settings/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
telegram-marketing-cron,supabase/functions/telegram-marketing-cron/index.ts,serveCronPost,"cron (secret-gated)",no,no,no,""
telegram-marketing-settings,supabase/functions/telegram-marketing-settings/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
telegram-parking-settings,supabase/functions/telegram-parking-settings/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
telegram-staff-cron,supabase/functions/telegram-staff-cron/index.ts,serveCronPost,"cron (secret-gated)",no,no,no,""
telegram-staff-settings,supabase/functions/telegram-staff-settings/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
transition-booking,supabase/functions/transition-booking/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
transition-parking-booking,supabase/functions/transition-parking-booking/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
update-booking-details,supabase/functions/update-booking-details/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
update-development,supabase/functions/update-development/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
update-help-center-faq,supabase/functions/update-help-center-faq/index.ts,serveSuperAdmin,"super-admin",no,no,yes,"MISSING-resource-scope-check"
update-host-playbook-article,supabase/functions/update-host-playbook-article/index.ts,serveSuperAdmin,"super-admin",no,no,yes,"MISSING-resource-scope-check"
update-organization,supabase/functions/update-organization/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
update-parking,supabase/functions/update-parking/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
update-platform-host-settings,supabase/functions/update-platform-host-settings/index.ts,serveSuperAdmin,"super-admin",yes,no,yes,""
update-property,supabase/functions/update-property/index.ts,serveAuthenticated,"org (authenticated user)",yes,yes,yes,""
update-support-ticket-status,supabase/functions/update-support-ticket-status/index.ts,serveSuperAdmin,"super-admin",no,no,yes,"MISSING-resource-scope-check"
upload-app-settings-asset,supabase/functions/upload-app-settings-asset/index.ts,RAW serve(),"UNKNOWN (raw serve)",yes,no,no,"raw-serve-not-audited-by-doc18-allowlist-here"
upload-booking-asset,supabase/functions/upload-booking-asset/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
upload-development-media,supabase/functions/upload-development-media/index.ts,RAW serve(),"UNKNOWN (raw serve)",yes,no,yes,"raw-serve-not-audited-by-doc18-allowlist-here"
upload-guest-chat-asset,supabase/functions/upload-guest-chat-asset/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
upload-guest-profile-asset,supabase/functions/upload-guest-profile-asset/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
upload-inbox-chat-asset,supabase/functions/upload-inbox-chat-asset/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
upload-listing-authorization-asset,supabase/functions/upload-listing-authorization-asset/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
upload-marketing-asset,supabase/functions/upload-marketing-asset/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
upload-marketing-generation-reference,supabase/functions/upload-marketing-generation-reference/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
upload-org-settings-asset,supabase/functions/upload-org-settings-asset/index.ts,RAW serve(),"UNKNOWN (raw serve)",yes,no,no,"raw-serve-not-audited-by-doc18-allowlist-here"
upload-org-verification-asset,supabase/functions/upload-org-verification-asset/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
upload-parking-media,supabase/functions/upload-parking-media/index.ts,RAW serve(),"UNKNOWN (raw serve)",yes,no,yes,"raw-serve-not-audited-by-doc18-allowlist-here"
upload-parking-settings-asset,supabase/functions/upload-parking-settings-asset/index.ts,RAW serve(),"UNKNOWN (raw serve)",yes,no,no,"raw-serve-not-audited-by-doc18-allowlist-here"
upload-property-media,supabase/functions/upload-property-media/index.ts,RAW serve(),"UNKNOWN (raw serve)",yes,no,no,"raw-serve-not-audited-by-doc18-allowlist-here"
upload-property-template-asset,supabase/functions/upload-property-template-asset/index.ts,RAW serve(),"UNKNOWN (raw serve)",yes,no,no,"raw-serve-not-audited-by-doc18-allowlist-here"
upload-support-ticket-attachment,supabase/functions/upload-support-ticket-attachment/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
validate-booking-receipts,supabase/functions/validate-booking-receipts/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
voice-receptionist-end,supabase/functions/voice-receptionist-end/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
voice-receptionist-settings,supabase/functions/voice-receptionist-settings/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
voice-receptionist-start,supabase/functions/voice-receptionist-start/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
voice-receptionist-tool,supabase/functions/voice-receptionist-tool/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
voice-receptionist-usage,supabase/functions/voice-receptionist-usage/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
voice-receptionist-voice-preview,supabase/functions/voice-receptionist-voice-preview/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
