function,path,wrapper,declared_tier,has_resource_scope_check,has_permission_leaf_check,uses_service_client_directly,gaps
get-guest-booking-document,supabase/functions/get-guest-booking-document/index.ts,servePublic,"guest-anon",no,no,no,""
get-guest-payment-info,supabase/functions/get-guest-payment-info/index.ts,servePublic,"guest-anon",yes,no,no,""
get-guest-review,supabase/functions/get-guest-review/index.ts,servePublic,"guest-anon",yes,yes,no,""
get-guest-stay-guide,supabase/functions/get-guest-stay-guide/index.ts,servePublic,"guest-anon",no,no,no,""
get-host,supabase/functions/get-host/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
get-host-reward-offer,supabase/functions/get-host-reward-offer/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
get-linked-parking-booking,supabase/functions/get-linked-parking-booking/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
get-listing-authorization-assets,supabase/functions/get-listing-authorization-assets/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
get-marketing-generation-job,supabase/functions/get-marketing-generation-job/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
get-org-superhost-progress,supabase/functions/get-org-superhost-progress/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
get-org-verification-assets,supabase/functions/get-org-verification-assets/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
get-organization-admin,supabase/functions/get-organization-admin/index.ts,serveSuperAdmin,"super-admin",no,no,yes,"MISSING-resource-scope-check"
get-parking-booking-status,supabase/functions/get-parking-booking-status/index.ts,servePublic,"guest-anon",no,no,yes,"MISSING-resource-scope-check"
get-parking-broadcast-status,supabase/functions/get-parking-broadcast-status/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
get-pay-parking,supabase/functions/get-pay-parking/index.ts,servePublic,"guest-anon",no,no,yes,"MISSING-resource-scope-check"
get-platform-host-settings,supabase/functions/get-platform-host-settings/index.ts,serveSuperAdmin,"super-admin",no,no,yes,"MISSING-resource-scope-check"
get-public-host,supabase/functions/get-public-host/index.ts,servePublic,"guest-anon",no,no,no,""
get-public-parking,supabase/functions/get-public-parking/index.ts,servePublic,"guest-anon",no,no,no,""
get-public-platform-status,supabase/functions/get-public-platform-status/index.ts,servePublic,"guest-anon",no,no,no,""
get-public-property,supabase/functions/get-public-property/index.ts,servePublic,"guest-anon",no,no,no,""
get-public-showcase,supabase/functions/get-public-showcase/index.ts,servePublic,"guest-anon",no,no,no,""
get-residence-unit-types,supabase/functions/get-residence-unit-types/index.ts,servePublic,"guest-anon",no,no,yes,""
get-sd-form,supabase/functions/get-sd-form/index.ts,servePublic,"guest-anon",yes,no,no,""
get-support-ticket,supabase/functions/get-support-ticket/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
get-support-ticket-admin,supabase/functions/get-support-ticket-admin/index.ts,serveSuperAdmin,"super-admin",no,no,yes,"MISSING-resource-scope-check"
get-team-invite-preview,supabase/functions/get-team-invite-preview/index.ts,servePublic,"guest-anon",no,no,no,""
guest-messages,supabase/functions/guest-messages/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
guest-profile,supabase/functions/guest-profile/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
guest-trips,supabase/functions/guest-trips/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
guest-web-chat-messages,supabase/functions/guest-web-chat-messages/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
guest-web-chat-resume,supabase/functions/guest-web-chat-resume/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
guest-web-chat-start,supabase/functions/guest-web-chat-start/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
ical-export,supabase/functions/ical-export/index.ts,RAW serve(),"UNKNOWN (raw serve)",no,no,yes,"raw-serve-not-audited-by-doc18-allowlist-here; MISSING-resource-scope-check"
import-ai-map-columns,supabase/functions/import-ai-map-columns/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
import-cancel,supabase/functions/import-cancel/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
import-commit,supabase/functions/import-commit/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
import-list-batches,supabase/functions/import-list-batches/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
import-parse-file,supabase/functions/import-parse-file/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
import-preview,supabase/functions/import-preview/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
import-revert,supabase/functions/import-revert/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
import-save-mapping,supabase/functions/import-save-mapping/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
import-update-row,supabase/functions/import-update-row/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
issue-booking-document-share-token,supabase/functions/issue-booking-document-share-token/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
issue-guest-form-completion-token,supabase/functions/issue-guest-form-completion-token/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
issue-guest-stay-guide-token,supabase/functions/issue-guest-stay-guide-token/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
list-activity-log,supabase/functions/list-activity-log/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
list-bookings,supabase/functions/list-bookings/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
list-developments,supabase/functions/list-developments/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
list-guest-vouchers,supabase/functions/list-guest-vouchers/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
list-help-center-articles,supabase/functions/list-help-center-articles/index.ts,serveAuthenticated,"org (authenticated user)",no,no,yes,""
list-help-center-faqs,supabase/functions/list-help-center-faqs/index.ts,serveAuthenticated,"org (authenticated user)",no,no,yes,""
list-help-center-faqs-admin,supabase/functions/list-help-center-faqs-admin/index.ts,serveSuperAdmin,"super-admin",no,no,yes,"MISSING-resource-scope-check"
list-host-announcements,supabase/functions/list-host-announcements/index.ts,serveAuthenticated,"org (authenticated user)",yes,yes,yes,""
list-host-organizations,supabase/functions/list-host-organizations/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
list-host-playbook-articles-admin,supabase/functions/list-host-playbook-articles-admin/index.ts,serveSuperAdmin,"super-admin",no,no,yes,"MISSING-resource-scope-check"
list-host-properties,supabase/functions/list-host-properties/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
list-hosts,supabase/functions/list-hosts/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
list-linkable-property-bookings,supabase/functions/list-linkable-property-bookings/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
list-org-listing-verifications,supabase/functions/list-org-listing-verifications/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
list-org-verifications,supabase/functions/list-org-verifications/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
list-organizations,supabase/functions/list-organizations/index.ts,serveAuthenticated,"org (authenticated user)",no,yes,yes,"MISSING-resource-scope-check"
list-organizations-admin,supabase/functions/list-organizations-admin/index.ts,serveSuperAdmin,"super-admin",no,no,yes,"MISSING-resource-scope-check"
list-parkings,supabase/functions/list-parkings/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
list-platform-properties,supabase/functions/list-platform-properties/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
list-properties,supabase/functions/list-properties/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
list-property-guest-reviews,supabase/functions/list-property-guest-reviews/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
list-public-developments,supabase/functions/list-public-developments/index.ts,servePublic,"guest-anon",no,no,yes,"MISSING-resource-scope-check"
list-public-parkings,supabase/functions/list-public-parkings/index.ts,servePublic,"guest-anon",no,no,yes,"MISSING-resource-scope-check"
list-public-place-groups,supabase/functions/list-public-place-groups/index.ts,servePublic,"guest-anon",no,no,yes,"MISSING-resource-scope-check"
list-public-pricing-plans,supabase/functions/list-public-pricing-plans/index.ts,servePublic,"guest-anon",no,no,yes,""
list-public-properties,supabase/functions/list-public-properties/index.ts,servePublic,"guest-anon",no,no,yes,"MISSING-resource-scope-check"
list-super-admin-approvals,supabase/functions/list-super-admin-approvals/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
list-super-admin-audit,supabase/functions/list-super-admin-audit/index.ts,serveSuperAdmin,"super-admin",no,no,yes,"MISSING-resource-scope-check"
list-support-tickets,supabase/functions/list-support-tickets/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
list-support-tickets-admin,supabase/functions/list-support-tickets-admin/index.ts,serveSuperAdmin,"super-admin",no,no,yes,"MISSING-resource-scope-check"
maintenance-items,supabase/functions/maintenance-items/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
maintenance-summary,supabase/functions/maintenance-summary/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
marketing-generation-sweeper,supabase/functions/marketing-generation-sweeper/index.ts,serveCronPost,"cron (secret-gated)",no,no,no,""
marketing-generations,supabase/functions/marketing-generations/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
marketing-music,supabase/functions/marketing-music/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
marketing-templates,supabase/functions/marketing-templates/index.ts,serveAuthenticated,"org (authenticated user)",yes,yes,yes,""
meta-inbox-backfill,supabase/functions/meta-inbox-backfill/index.ts,RAW serve(),"UNKNOWN (raw serve)",yes,no,yes,"raw-serve-not-audited-by-doc18-allowlist-here"
meta-inbox-disconnect,supabase/functions/meta-inbox-disconnect/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
